"gisjoin","pop","hisp","black","white","amind","asian","pacis","urm","schid","schname","dist","BLACKHISP_PCT"
"G13008900214123015",48,0.145833,0.0625,0.791667,0,0,0,0.208333,130174000729,"Ashford Park Elementary School",-0.319664,20.8333
"G13008900214131015",35,0.428571,0.428571,0.057143,0,0.085714,0,0.857143,130174004260,"John Robert Lewis Elementary School",0.405603,85.7142
"G13008900214053016",12,0.083333,0,0.916667,0,0,0,0.083333,130174000729,"Ashford Park Elementary School",-0.025443,8.3333
"G13008900214122021",115,0.591304,0.26087,0.113044,0,0.026087,0,0.852174,130174004260,"John Robert Lewis Elementary School",0.411645,85.2174
"G13008900214101013",13,0,0,0.923077,0,0.076923,0,0,130174004260,"John Robert Lewis Elementary School",0.547976,0
"G13008900214101012",12,0,0.5,0.416667,0,0.083333,0,0.5,130174004260,"John Robert Lewis Elementary School",0.55971,50
"G13008900214103002",18,0,0.277778,0.722222,0,0,0,0.277778,130174004260,"John Robert Lewis Elementary School",0.58164,27.7778
"G13008900214053011",35,0.028571,0.142857,0.657143,0,0.028571,0,0.171429,130174000729,"Ashford Park Elementary School",-0.572877,17.1428
"G13008900214122022",134,0.835821,0.104478,0,0,0.052239,0,0.940299,130174004260,"John Robert Lewis Elementary School",0.500077,94.0299
"G13008900214053019",168,0.041667,0.047619,0.85119,0,0.035714,0,0.089286,130174000729,"Ashford Park Elementary School",-0.07218,8.9286
"G13008900214053012",77,0.116883,0.077922,0.74026,0,0.012987,0,0.194805,130174000729,"Ashford Park Elementary School",-0.46836,19.4805
"G13008900214131016",3,1,0,0,0,0,0,1,130174004260,"John Robert Lewis Elementary School",0.238044,100
"G13008900214122019",55,0.163636,0,0.618182,0,0.163636,0,0.163636,130174004260,"John Robert Lewis Elementary School",0.270644,16.3636
"G13008900214123014",35,0.028571,0,0.8,0,0,0,0.028571,130174000729,"Ashford Park Elementary School",-0.222437,2.8571
"G13008900214053014",118,0.025424,0.016949,0.822034,0,0.050847,0,0.042373,130174000729,"Ashford Park Elementary School",-0.342998,4.2373
"G13008900214122020",3,0,0,1,0,0,0,0,130174004260,"John Robert Lewis Elementary School",0.126603,0
"G13008900214142000",563,0.91119,0.01421,0.055062,0.001776,0.01421,0,0.9254,130174004260,"John Robert Lewis Elementary School",0.703718,92.54
"G13008900214053020",260,0.026923,0.084615,0.830769,0,0.046154,0,0.111538,130174000729,"Ashford Park Elementary School",-0.028957,11.1538
"G13008900214053015",174,0.063218,0.091954,0.741379,0,0.08046,0,0.155172,130174000729,"Ashford Park Elementary School",-0.219376,15.5172
"G13008900214123013",61,0.04918,0.032787,0.868852,0,0,0,0.081967,130174000729,"Ashford Park Elementary School",-0.21591,8.1967
"G13008900214122018",78,0.628205,0.115385,0.230769,0.012821,0,0,0.74359,130174004260,"John Robert Lewis Elementary School",0.474785,74.359
"G13008900214123017",56,0.107143,0.053571,0.714286,0,0.089286,0,0.160714,130174000729,"Ashford Park Elementary School",-0.127607,16.0714
"G13008900214122016",43,0.302326,0,0.697674,0,0,0,0.302326,130174004260,"John Robert Lewis Elementary School",0.275972,30.2326
"G13008900214053017",25,0.16,0.04,0.72,0,0.08,0,0.2,130174000729,"Ashford Park Elementary School",-0.218962,20
