"btype","maname","schida","schnamea","sdida","sdnamea","schidb","schnameb","sdidb","sdnameb","popa_bdy","whitea_bdy","blacka_bdy","hispaa_bdy","asiana_bdy","popb_bdy","whiteb_bdy","blackb_bdy","hispab_bdy","asianb_bdy","bbindex","leabdy","idborder","borderid","pct_black_a","pct_hisp_a","pct_white_a","pct_other_a","pct_black_b","pct_hisp_b","pct_white_b","pct_other_b","max_boundary","rank_city","top_within_boundary"
"sab1","Abilene, TX",480744012705,"Martinez Elementary School",4807440,"ABILENE ISD",480744000035,"Taylor Elementary School",4807440,"ABILENE ISD",345,79.0000022,71.9999984,184.0000009,0,959,466.9999925,124.9999931,325.0000174,3.9999793,56.1369294736651,0,"34579.000002271.9999984184.00000090959466.9999925124.9999931325.00001743.9999793","boundary_975",20.8695647536232,53.3333335942029,22.8985513623188,2.89855028985507,13.0344101251303,33.8894700104275,48.6965581334724,4.37956173096975,56.1369294736651,1,1
"sab3","Akron, OH",390434800051,"Buchtel High School",3904348,"Akron City",390434800016,"Firestone High School",3904348,"Akron City",6589,1671.0000217,4608.0000167,99.0000112,30.0000331,8910,4995.0000051,3211.0000373,218.9999607,173.0000034,1240.91398188738,0,"65891671.00002174608.000016799.000011230.000033189104995.00000513211.0000373218.9999607173.0000034","boundary_1440",69.9347399711641,1.50250434360297,25.3604495629079,3.20230612232508,36.0381597901235,2.45791201683502,56.0606061178451,5.44332207519642,1240.91398188738,1,1
"sab1","Akron, OH",390434800105,"Crouse Community Learning Center",3904348,"Akron City",390434800048,"Pfeiffer Elementary School",3904348,"Akron City",1865,179.9999732,1572.9999981,27.999978,11.0000112,1474,990.9999977,368.9999894,36.9999935,8.0000076,610.666427885643,0,"1865179.99997321572.999998127.99997811.00001121474990.9999977368.999989436.99999358.0000076","boundary_451",84.3431634369973,1.50133930294906,9.65147309383378,4.50402416621982,25.0339205834464,2.51017594979647,67.2320215535957,5.22388191316146,610.666427885643,2,1
"sab1","Akron, OH",390434805372,"Helen Arnold Community Learning Center",3904348,"Akron City",390434800048,"Pfeiffer Elementary School",3904348,"Akron City",1461,285.9999994,1100.0000061,21.0000006,2.9999953,1550,1040.0000006,392.9999895,36.9999935,8.0000076,436.899572907373,0,"1461285.99999941100.000006121.00000062.999995315501040.0000006392.999989536.99999358.0000076","boundary_274",75.290897063655,1.43737170431212,19.5756330869268,3.69609814510609,25.3548380322581,2.38709635483871,67.0967742322581,5.16129138064517,436.899572907373,3,1
"sab2","Akron, OH",390434800105,"Crouse Community Learning Center",3904348,"Akron City",390434800032,"Innes Community Learning Center",3904348,"Akron City",1865,179.9999732,1572.9999981,27.999978,11.0000112,2189,1254.9999979,788.9999789,49.999974,8.0000076,416.555102787258,0,"1865179.99997321572.999998127.99997811.000011221891254.9999979788.999978949.9999748.0000076","boundary_452",84.3431634369973,1.50133930294906,9.65147309383378,4.50402416621982,36.0438546779351,2.28414682503426,57.3321150251256,4.33988347190498,416.555102787258,4,1
"sab2","Akron, OH",390434805372,"Helen Arnold Community Learning Center",3904348,"Akron City",390434800032,"Innes Community Learning Center",3904348,"Akron City",1461,285.9999994,1100.0000061,21.0000006,2.9999953,1804,1097.0000033,565.9999878,44.9999945,12.0000071,286.165053584009,0,"1461285.99999941100.000006121.00000062.999995318041097.0000033565.999987844.999994512.0000071","boundary_275",75.290897063655,1.43737170431212,19.5756330869268,3.69609814510609,31.3747221618625,2.4944564578714,60.8093128215078,5.32150855875832,286.165053584009,5,1
"sab2","Akron, OH",390434800031,"Hyre Community Learning Center",3904348,"Akron City",390434800029,"Hill Community Learning Center",3904348,"Akron City",1326,851.9999862,364.0000199,20.0000119,7.9999849,1503,494.9999606,890.0000111,30.9999942,12.0000104,248.690343854814,0,"1326851.9999862364.000019920.00001197.99998491503494.9999606890.000011130.999994212.0000104","boundary_197",27.450981892911,1.50829652337858,64.2533926244344,6.78732895927601,59.2149042648037,2.06254119760479,32.9341291151031,5.78842542248836,248.690343854814,6,1
"sab1","Akron, OH",390434800029,"Hill Community Learning Center",3904348,"Akron City",390434800026,"Hatton CLC",3904348,"Akron City",1503,494.9999606,890.0000111,30.9999942,12.0000104,1326,851.9999862,364.0000199,20.0000119,7.9999849,215.901131407371,0,"1503494.9999606890.000011130.999994212.00001041326851.9999862364.000019920.00001197.9999849","boundary_291",59.2149042648037,2.06254119760479,32.9341291151031,5.78842542248836,27.450981892911,1.50829652337858,64.2533926244344,6.78732895927601,215.901131407371,7,1
"sab1","Akron, OH",390434800105,"Crouse Community Learning Center",3904348,"Akron City",390434800028,"Sam Salem Community Learning Center",3904348,"Akron City",736,58.0000002,640.0000161,9.0000009,4.0000169,715,264.0000002,419.9999895,12.9999805,0,169.639520919707,0,"73658.0000002640.00001619.00000094.0000169715264.0000002419.999989512.99998050","boundary_1523",86.9565239266304,1.22282620923913,7.88043480978261,3.94021505434782,58.7412572727273,1.81817909090909,36.9230769510489,2.51748668531468,169.639520919707,8,1
"sab1","Akron, OH",390438300769,"Richardson Elementary School",3904383,"Cuyahoga Falls City",390434800015,"Findley Community Learning Center",3904348,"Akron City",1830,1708.0000059,32.000004,38.9999961,12.0000057,909,577.9999967,252.0000066,20.0000006,29.0000189,161.116014399659,1,"18301708.000005932.00000438.999996112.0000057909577.9999967252.000006620.000000629.0000189","boundary_433",1.74863409836066,2.13114732786885,93.3333336557377,2.78688491803278,27.7227730033003,2.2002200880088,63.5863582728273,6.49064863586358,161.116014399659,9,1
