schida,schidb,xmin,xmax,ymin,ymax
10222002178,10180000623,-86.6208832,-86.30649100000001,34.7132746,34.90274950000001
10162000551,10138000497,-86.0209168,-85.8443254,33.87275219999999,34.03710940000001
60744008540,60744000690,-117.7180801,-117.6383484,33.4440413,33.5278721
260110304834,262574006226,-83.3077674,-82.8696674,42.23507739999999,42.470401
260110307481,262574006226,-83.3077674,-82.8696674,42.23507739999999,42.470401
260110307755,262574006226,-83.3077674,-82.8696674,42.23507739999999,42.470401
260110304832,262574006226,-83.3077674,-82.8696674,42.23507739999999,42.470401
260110307754,261428005076,-83.3077674,-82.8904023,42.23507739999999,42.4960863
260110307754,262574006228,-83.3077674,-82.8904023,42.23507739999999,42.470401
260110307754,262574006226,-83.3077674,-82.8696674,42.23507739999999,42.470401
260110304838,262574006221,-83.3077674,-82.86153350000001,42.23507739999999,42.470401
260110304834,262574006221,-83.3077674,-82.86153350000001,42.23507739999999,42.470401
261554008168,260001503885,-83.39940709999999,-83.2765171,42.2669757,42.36064140000001
63488013965,63488005892,-117.2185455,-117.119738,33.07472,33.16558910000001
260110307481,262574006221,-83.3077674,-82.86153350000001,42.23507739999999,42.470401
260110307755,262574006221,-83.3077674,-82.86153350000001,42.23507739999999,42.470401
260110304832,262574006221,-83.3077674,-82.86153350000001,42.23507739999999,42.470401
263231006771,260585004228,-83.3666808,-83.2412207,42.4384189,42.5934691
260110307754,262574006221,-83.3077674,-82.86153350000001,42.23507739999999,42.470401
260110304838,262574006224,-83.3077674,-82.8580476,42.23507739999999,42.470401
260110304834,262574006224,-83.3077674,-82.8580476,42.23507739999999,42.470401
261554008200,260001503885,-83.39940709999999,-83.2765171,42.2669757,42.36064140000001
263231008151,260585004228,-83.3666808,-83.1970112,42.452762,42.5934691
260110307481,262574006224,-83.3077674,-82.8580476,42.23507739999999,42.470401
60003204958,62121002546,-118.4000734,-118.3237786,33.8528488,33.9054754
260110307755,262574006224,-83.3077674,-82.8580476,42.23507739999999,42.470401
261554008161,260001503885,-83.39940709999999,-83.2765171,42.2669757,42.36064140000001
260110304832,262574006224,-83.3077674,-82.8580476,42.23507739999999,42.470401
262574006226,260110304775,-82.96019299999999,-82.8696674,42.3618702,42.4498595
262619000240,260501004188,-83.20336859999999,-83.1254153,42.4253509,42.50945820000001
260110307754,262574006224,-83.3077674,-82.8580476,42.23507739999999,42.470401
262874000662,260609004237,-83.3605834,-83.17852140000001,42.5510493,42.68287400000001
262574006221,260110304775,-82.96019299999999,-82.86153350000001,42.3727278,42.4498595
260110304774,261160004600,-83.1957226,-83.09922040000001,42.23507739999999,42.33944740000001
260110304774,261160001500,-83.1957226,-83.09922040000001,42.23507739999999,42.33944740000001
63186004913,62457003682,-122.2261101,-122.1081763,37.4260935,37.53079510000001
260110304855,261160004596,-83.1850497,-83.07912850000001,42.3184932,42.3873003
262574006224,260110304775,-82.96019299999999,-82.8580476,42.3727278,42.458216
262874000662,260609004236,-83.3605834,-83.17852140000001,42.5510493,42.68287400000001
